"date","geography","value_type","value"
2020-03-29,"England","icu_prev",NA
2020-03-29,"London","hospital_prev",3464
2020-03-29,"London","icu_prev",NA
2020-03-29,"Midlands","hospital_prev",1330
2020-03-29,"Midlands","icu_prev",NA
2020-03-29,"North East and Yorkshire","hospital_prev",826
2020-03-29,"North East and Yorkshire","icu_prev",NA
2020-03-29,"North West","hospital_prev",819
2020-03-29,"North West","icu_prev",NA
2020-03-29,"South East","hospital_prev",1076
2020-03-29,"South East","icu_prev",NA
2020-03-29,"South West","hospital_prev",427
2020-03-29,"South West","icu_prev",NA
2020-03-30,"East of England","hospital_inc",148
2020-03-30,"England","hospital_inc",2817
2020-03-30,"London","hospital_inc",883
2020-03-30,"Midlands","hospital_inc",581
2020-03-30,"North East and Yorkshire","hospital_inc",340
2020-03-30,"North West","hospital_inc",420
2020-03-30,"South East","hospital_inc",317
2020-03-30,"South West","hospital_inc",128
2020-03-30,"East of England","hospital_prev",628
2020-03-30,"East of England","icu_prev",NA
2020-03-30,"England","hospital_prev",9852
2020-03-30,"England","icu_prev",NA
2020-03-30,"London","hospital_prev",3638
2020-03-30,"London","icu_prev",NA
2020-03-30,"Midlands","hospital_prev",1833
2020-03-30,"Midlands","icu_prev",NA
2020-03-30,"North East and Yorkshire","hospital_prev",995
2020-03-30,"North East and Yorkshire","icu_prev",NA
2020-03-30,"North West","hospital_prev",982
2020-03-30,"North West","icu_prev",NA
2020-03-30,"South East","hospital_prev",1284
2020-03-30,"South East","icu_prev",NA
2020-03-30,"South West","hospital_prev",492
2020-03-30,"South West","icu_prev",NA
2020-03-31,"East of England","hospital_inc",146
2020-03-31,"England","hospital_inc",2447
2020-03-31,"London","hospital_inc",645
2020-03-31,"Midlands","hospital_inc",594
2020-03-31,"North East and Yorkshire","hospital_inc",303
2020-03-31,"North West","hospital_inc",342
2020-03-31,"South East","hospital_inc",295
2020-03-31,"South West","hospital_inc",122
2020-03-31,"East of England","hospital_prev",793
2020-03-31,"East of England","icu_prev",NA
2020-03-31,"England","hospital_prev",11154
2020-03-31,"England","icu_prev",NA
2020-03-31,"London","hospital_prev",4073
2020-03-31,"London","icu_prev",NA
2020-03-31,"Midlands","hospital_prev",1952
2020-03-31,"Midlands","icu_prev",NA
2020-03-31,"North East and Yorkshire","hospital_prev",1124
2020-03-31,"North East and Yorkshire","icu_prev",NA
2020-03-31,"North West","hospital_prev",1143
2020-03-31,"North West","icu_prev",NA
2020-03-31,"South East","hospital_prev",1535
2020-03-31,"South East","icu_prev",NA
2020-03-31,"South West","hospital_prev",534
2020-03-31,"South West","icu_prev",NA
2020-04-01,"East of England","hospital_inc",167
2020-04-01,"England","hospital_inc",3099
2020-04-01,"London","hospital_inc",767
2020-04-01,"Midlands","hospital_inc",776
2020-04-01,"North East and Yorkshire","hospital_inc",507
2020-04-01,"North West","hospital_inc",466
2020-04-01,"South East","hospital_inc",304
2020-04-01,"South West","hospital_inc",112
2020-04-01,"East of England","hospital_prev",833
2020-04-01,"East of England","icu_prev",NA
2020-04-01,"England","hospital_prev",12059
2020-04-01,"England","icu_prev",NA
2020-04-01,"London","hospital_prev",4219
2020-04-01,"London","icu_prev",NA
2020-04-01,"Midlands","hospital_prev",2192
2020-04-01,"Midlands","icu_prev",NA
2020-04-01,"North East and Yorkshire","hospital_prev",1293
2020-04-01,"North East and Yorkshire","icu_prev",NA
2020-04-01,"North West","hospital_prev",1451
2020-04-01,"North West","icu_prev",NA
2020-04-01,"South East","hospital_prev",1461
2020-04-01,"South East","icu_prev",NA
2020-04-01,"South West","hospital_prev",610
2020-04-01,"South West","icu_prev",NA
2020-04-02,"East of England","hospital_inc",184
2020-04-02,"England","hospital_inc",2932
2020-04-02,"London","hospital_inc",835
2020-04-02,"Midlands","hospital_inc",582
2020-04-02,"North East and Yorkshire","hospital_inc",423
2020-04-02,"North West","hospital_inc",434
2020-04-02,"South East","hospital_inc",322
2020-04-02,"South West","hospital_inc",152
2020-04-02,"East of England","hospital_prev",722
2020-04-02,"East of England","icu_prev",119
2020-04-02,"England","hospital_prev",10641
2020-04-02,"England","icu_prev",1494
2020-04-02,"London","hospital_prev",3495
2020-04-02,"London","icu_prev",673
2020-04-02,"Midlands","hospital_prev",1550
2020-04-02,"Midlands","icu_prev",301
2020-04-02,"North East and Yorkshire","hospital_prev",1295
2020-04-02,"North East and Yorkshire","icu_prev",83
2020-04-02,"North West","hospital_prev",1428
2020-04-02,"North West","icu_prev",102
2020-04-02,"South East","hospital_prev",1558
2020-04-02,"South East","icu_prev",157
2020-04-02,"South West","hospital_prev",593
2020-04-02,"South West","icu_prev",59
2020-04-03,"East of England","hospital_inc",192
2020-04-03,"England","hospital_inc",2564
2020-04-03,"London","hospital_inc",647
2020-04-03,"Midlands","hospital_inc",451
2020-04-03,"North East and Yorkshire","hospital_inc",373
2020-04-03,"North West","hospital_inc",446
2020-04-03,"South East","hospital_inc",332
2020-04-03,"South West","hospital_inc",123
2020-04-03,"East of England","hospital_prev",752
2020-04-03,"East of England","icu_prev",162
2020-04-03,"England","hospital_prev",11847
2020-04-03,"England","icu_prev",1788
2020-04-03,"London","hospital_prev",3333
2020-04-03,"London","icu_prev",759
2020-04-03,"Midlands","hospital_prev",2325
2020-04-03,"Midlands","icu_prev",357
2020-04-03,"North East and Yorkshire","hospital_prev",1725
2020-04-03,"North East and Yorkshire","icu_prev",116
2020-04-03,"North West","hospital_prev",1576
2020-04-03,"North West","icu_prev",138
2020-04-03,"South East","hospital_prev",1495
2020-04-03,"South East","icu_prev",188
2020-04-03,"South West","hospital_prev",641
2020-04-03,"South West","icu_prev",68
2020-04-04,"East of England","hospital_inc",163
2020-04-04,"England","hospital_inc",2593
2020-04-04,"London","hospital_inc",733
2020-04-04,"Midlands","hospital_inc",559
2020-04-04,"North East and Yorkshire","hospital_inc",294
2020-04-04,"North West","hospital_inc",398
2020-04-04,"South East","hospital_inc",348
