org_code,trustname,nat_group,geog_code,add_1,add_2,add_3,add_4,add_5,postcode,open_date,close_date,gor_code,ignore1,ingore2,nhs_region
rfr,the_rotherham_nhs_foundation_trust,y54,q72,moorgate_road,,,rotherham,south_yorkshire,s602ud,19930401,NA,d,Q72,03L,north_east_and_yorkshire
rdz,the_royal_bournemouth_and_christchurch_hospitals_nhs_foundation_trust,y57,q70,royal_bournemouth_general_hospital,castle_lane_east,,bournemouth,dorset,bh77dw,19920401,NA,j,Q85,11J,south_west
rpy,the_royal_marsden_nhs_foundation_trust,y56,q71,fulham_road,,,london,greater_london,sw36jj,19940401,NA,h,Q71,08Y,london
rrj,the_royal_orthopaedic_hospital_nhs_foundation_trust,y55,q77,the_woodlands,bristol_road_south,northfield,birmingham,west_midlands,b312ap,19950401,NA,f,Q77,15E,midlands
rl4,the_royal_wolverhampton_nhs_trust,y55,q77,new_cross_hospital,wolverhampton_road,heath_town,wolverhampton,west_midlands,wv100qp,19940401,NA,f,Q77,06A,midlands
,the_shrewsbury_and_telford_hospital_nhs_trust,,,,,,,,,,,,,,midlands
ret,the_walton_centre_nhs_foundation_trust,y54,q75,lower_lane,,,liverpool,merseyside,l97lj,19920401,NA,b,Q75,99A,north_west
rke,the_whittington_hospital_nhs_trust,y56,q71,the_whittington_hospital,magdala_avenue,,london,greater_london,n195nf,19930401,NA,h,Q71,08H,london
ra9,torbay_and_south_devon_nhs_foundation_trust,y57,q80,hengrave_house,torbay_hospital,newton_road,torquay,devon,tq27aa,19910401,NA,k,Q85,15N,south_west
r1g,torbay_and_southern_devon_health_and_care_nhs_trust,y57,q80,bay_house_unit_2,riviera_park,nicholson_road,torquay,devon,tq27td,20120401,20150930,k,Q85,15N,south_west
rwd,united_lincolnshire_hospitals_nhs_trust,y55,q78,lincoln_county_hospital,greetwell_road,,lincoln,lincolnshire,ln24ax,20000401,NA,e,Q78,04D,midlands
rrv,university_college_london_hospitals_nhs_foundation_trust,y56,q71,250_euston_road,,,london,greater_london,nw12pg,19960401,NA,h,Q71,07R,london
rm2,university_hospital_of_south_manchester_nhs_foundation_trust,y54,q83,wythenshawe_hospital,southmoor_road,wythenshawe,manchester,greater_manchester,m239lt,19940401,NA,b,Q83,14L,north_west
rhm,university_hospital_southampton_nhs_foundation_trust,y57,q70,mailpoint_18,southampton_general_hospital,tremona_road,southampton,hampshire,so166yd,19930401,NA,j,Q87,10X,south_east
rrk,university_hospitals_birmingham_nhs_foundation_trust,y55,q77,trust_hq_po_box_9551,queen_elizabeth_medical_centre,edgbaston,birmingham,west_midlands,b152th,19950401,NA,f,Q77,15E,midlands
ra7,university_hospitals_bristol_and_weston_nhs_foundation_trust,y57,q80,marlborough_street,,,bristol,avon,bs13nu,19910401,NA,k,Q86,15C,south_west
rkb,university_hospitals_coventry_and_warwickshire_nhs_trust,y55,q77,walsgrave_general_hospital,clifford_bridge_road,,coventry,west_midlands,cv22dx,19930401,NA,f,Q77,05A,midlands
,university_hospitals_dorset_nhs_foundation_trust,,,,,,,,,,,,,,south_west
,university_hospitals_of_derby_and_burton_nhs_foundation_trust,,,,,,,,,,,,,,midlands
rwe,university_hospitals_of_leicester_nhs_trust,y55,q78,gwendolen_house,gwendolen_road,,leicester,leicestershire,le54qf,20000401,NA,e,Q78,04C,midlands
rtx,university_hospitals_of_morecambe_bay_nhs_foundation_trust,y54,q74,westmorland_general_hospital,burton_road,,kendal,cumbria,la97rg,19980401,NA,a,Q84,01K,north_west
